Data,Abertura,Fechamento,Maximo,Minimo,Volume
2019-11-01,37000,36891,37298.98997,36627,5836902.69027448
2019-11-02,36999.98,37100,37143.86,36802.83999999,1345167.62695489
2019-11-03,37100,36907.94935,37150,36704,1601771.9060152
2019-11-04,36704.04000999,37480.00001,38000,36704,11010192.39800197
2019-11-05,37480.00001,37402,37850,37302,8003467.35440507
2019-11-06,37488.97999,37899,38100.3,37355.55,10311793.09183024
2019-11-07,37868.01,37836.84984,38099.56,37601,6430421.6328675
2019-11-08,37836.84984,37158.98993,37836.84984,36400,11464025.33507086
2019-11-09,37035.00003,36947.99975,37200,36550,1845657.20546688
2019-11-10,36940,37450,37820,36801.5,3881069.83550472
2019-11-11,37500,36602,37649.71951,36500,7500787.78654796
2019-11-12,36784.99975,36859.76991,37204.99998,36500,5773081.3787448
2019-11-13,36672.46,36800,37199.9999,36600.36,5683602.52022492
2019-11-14,36899.95969,36519.94863,37160,36200,6043522.95932441
2019-11-15,36514.99972,36013.5,36899.9,36000,3428630.55757796
2019-11-16,36013.5,36062,36300,36000.01999999,1507748.19919209
2019-11-17,36270.24975,36199.89367,36455.78998,36050,1298550.5713884
2019-11-18,36050.00001,34801.7701,36243.73,34050,8048249.82517367
2019-11-19,34801.7701,34579.99975,35089.33847,34002,5558186.93396291
2019-11-20,34579.98984,34061.01999999,34579.98984,34035,4010276.64822213
2019-11-21,34061.01999999,32679,34100,31712,12156553.4435301
2019-11-22,32679,30998.97,33499,29400.09,23603033.27218786
2019-11-23,30998.98,31308.62,31999,30500,2933910.36754012
2019-11-24,31308.61999,29000,31308.61999,29000,4698027.68154778
2019-11-25,29088.99993,30678,31500,28800,9584320.29417041
2019-11-26,30678,30600.56,31095,30350.00003,6010926.30712559
2019-11-27,30600.56,32450,33000,29700,11742761.01886162
2019-11-28,32421,31949.93,32999,31506,8884384.70801262
2019-11-29,31710.22028,33240,33369,31709.69,7106666.22104291
2019-11-30,33240,31850,33250,31850,3191067.03838157
2019-12-01,31850,31747.38202,32468.97007,31505.00001,2022236.33251937
2019-12-02,31747.70266,31483.95619,32099.89994,31000.1,6036190.84659503
2019-12-03,31242.54006,30430,31500,30350.00001,5522733.80466072
2019-12-04,30500,30799.99,32295,30387.09,6508604.19995897
2019-12-05,30799.98999,31198.14995,31600,30650.00001,4894044.09786874
2019-12-06,31179.9999,31423.98,31513,30917.13001,4083659.37173929
